,mean_correlation,std_deviation,correlation_type,emotion,distance
0,0.3703268477708449,0.0262874997019068,pearson,anger,1
1,0.0802147417518616,0.0318510692940963,pearson,anger,2
2,0.0017367895392528,0.0283643672754753,pearson,anger,3
3,-0.017362812098858,0.0336638664130423,pearson,anger,4
4,-0.0298999156942462,0.0284369393016431,pearson,anger,5
5,-0.0212613760711377,0.0333508034641868,pearson,anger,6
6,0.0660051626195767,0.0238734988384637,pearson,disgust,1
7,0.012281688394957,0.0260453742316923,pearson,disgust,2
8,-0.0051446530820944,0.0270559408253503,pearson,disgust,3
9,-0.004057952249699,0.0283507379755801,pearson,disgust,4
10,-0.0063050341816899,0.0357810545697766,pearson,disgust,5
11,0.0056213643456453,0.0347250325818231,pearson,disgust,6
12,0.2804157666483547,0.0346237806963523,pearson,joy,1
13,0.0374992125243054,0.0325959459290539,pearson,joy,2
14,0.0103115980226536,0.0349818873283619,pearson,joy,3
15,-0.0116522966161002,0.0311875317591893,pearson,joy,4
16,-0.0346448331704914,0.0344007711801955,pearson,joy,5
17,-0.0313778709159122,0.0347858301879409,pearson,joy,6
18,0.1238622398818167,0.0328404564095499,pearson,sadness,1
19,0.0479557826083987,0.0325376583752337,pearson,sadness,2
20,0.0037067917506309,0.0350244068453743,pearson,sadness,3
21,-0.0033835705573381,0.0330562434610002,pearson,sadness,4
22,-0.0086301741995298,0.0294501895752471,pearson,sadness,5
23,-0.0110602481895425,0.0350468687778551,pearson,sadness,6
24,0.409039577858185,0.0261687203188734,spearman,anger,1
25,0.082642509552232,0.034802319859721,spearman,anger,2
26,0.0037531819179285,0.0266450890994417,spearman,anger,3
27,-0.0214295912367186,0.0320901050120844,spearman,anger,4
28,-0.0319055343681799,0.0258103897231493,spearman,anger,5
29,-0.0208602871156061,0.0370102444250653,spearman,anger,6
30,0.1569726823680708,0.0289443493770471,spearman,disgust,1
31,0.0116611491738616,0.027775322395729,spearman,disgust,2
32,-0.0063547962937192,0.0323320689759096,spearman,disgust,3
33,-0.0033056109320389,0.0319603181722549,spearman,disgust,4
34,-0.0056257154571473,0.036233395226454,spearman,disgust,5
35,0.00154618174842,0.0331288688528549,spearman,disgust,6
36,0.2805104623163973,0.0332512463776556,spearman,joy,1
37,0.0342689765321785,0.0332874855988597,spearman,joy,2
38,0.0124398670129068,0.033841372852418,spearman,joy,3
39,-0.0148438368744425,0.0334965631630451,spearman,joy,4
40,-0.0367749333791437,0.034431657588642,spearman,joy,5
41,-0.0359715434835174,0.0365662460018859,spearman,joy,6
42,0.1072112241106964,0.0331114671777782,spearman,sadness,1
43,0.0413686803699112,0.0326328870815406,spearman,sadness,2
44,0.0004604188862175,0.0360710753837128,spearman,sadness,3
45,-0.0086436101409477,0.029862445702005,spearman,sadness,4
46,-0.0072317547801813,0.031146336230069,spearman,sadness,5
47,-0.0124866808456191,0.0319536788471489,spearman,sadness,6
